"url","id","propertyLeaseId","name","street","block","propertyTypeName","propertyTypeCode","rentalTypeName","rentalTypeCode","bedroomNumberName","bedroomNumberCode","bathroomNumberName","bathroomNumberCode","roomTypeName","roomTypeCode","bathroomTypeName","bathroomTypeCode","price","ImageURL1","ImageURL2","ImageURL3","ImageURL4","ImageURL5","isLike","tags","subDistrictId","latitude","longitude","projectId","isRecommendAgent","date"
"https://property.nestia.com/rental/detail/111060","111060","111060","The Lakeshore","Jurong West Street 41","31","Condo/Apt","2","Private room","2","1","2","1","1","Common room","2","Private","1","1000","https://d247uvop8vgmto.cloudfront.net/property/111060/large/111060_148924900646_0_mark1523848297887382.jpg","https://d247uvop8vgmto.cloudfront.net/property/111060/large/111060_148924900854_0_mark1523848298037602.jpg","https://d247uvop8vgmto.cloudfront.net/property/111060/large/111060_148924900703_0_mark1523848298142578.jpg","https://d247uvop8vgmto.cloudfront.net/property/111060/large/111060_148924900551_0_mark1523848298381711.jpg","https://d247uvop8vgmto.cloudfront.net/property/111060/large/111060_148924900742_0_mark1523848298506605.jpg","False","Near MRT; Fully Furnished; Natural Sunlight","30","1.3466129077196376","103.72354474736017","2702","False","18/04/2018 17:02:15"
"https://property.nestia.com/rental/detail/180479","180479","180479","665 Choa Chu Kang Crescent","Choa Chu Kang Crescent","665","Condo/Apt","2","Private room","2","3","4","2","2","Common room","2","Shared","2","600","https://d247uvop8vgmto.cloudfront.net/property/180479/large/180479_1523631356249_mark1523946087005398.jpg","https://d247uvop8vgmto.cloudfront.net/property/180479/large/180479_1523631355880_mark1523946086695822.jpg","https://d247uvop8vgmto.cloudfront.net/property/180479/large/180479_1523631355824_mark1523946086347852.jpg","https://d247uvop8vgmto.cloudfront.net/property/180479/large/180479_1523631355835_mark1523946087271744.jpg","","False","Near MRT; Fully Furnished; Natural Sunlight","79","1.402022","103.7500079","12657","False","18/04/2018 17:02:15"
"https://property.nestia.com/rental/detail/180989","180989","180989","Maysprings","Petir Road","6","Condo/Apt","2","Private room","2","","","","","Common room","2","Private","1","900","https://d247uvop8vgmto.cloudfront.net/property/180989/large/180989_1523937169800_mark1523937207101999.png","https://d247uvop8vgmto.cloudfront.net/property/180989/large/180989_1523895206557_mark1523937206900889.jpg","https://d247uvop8vgmto.cloudfront.net/property/180989/large/180989_1523937179106_mark1523937208298838.png","","","False","Near MRT; Fully Furnished; Natural Sunlight","14","1.3775181","103.7637303","1588","False","18/04/2018 17:02:15"
"https://property.nestia.com/rental/detail/147864","147864","147864","Landmark Tower","Chin Swee Road","173","Condo/Apt","2","Private room","2","","","","","Master room","1","Private","1","1200","https://d247uvop8vgmto.cloudfront.net/property/147864/large/147864_1508242498873_mark1522292069655104.jpg","https://d247uvop8vgmto.cloudfront.net/property/147864/large/147864_1508242499465_mark1522292069999361.jpg","https://d247uvop8vgmto.cloudfront.net/property/147864/large/147864_1508242500225_mark1522292070257540.jpg","https://d247uvop8vgmto.cloudfront.net/property/147864/large/147864_1508242501027_mark1522292070631381.jpg","https://d247uvop8vgmto.cloudfront.net/property/147864/large/147864_1508242501885_mark1522292070918946.jpg","False","No Agent Fee; Near MRT; Fully Furnished","18","1.286184","103.839582","1410","False","18/04/2018 17:02:15"
"https://property.nestia.com/rental/detail/181082","181082","181082","Waterwoods","Punggol Field Walk","21","Condo/Apt","2","Private room","2","","","","","Common room","2","Shared","2","800","https://d247uvop8vgmto.cloudfront.net/property/181082/large/181082_1523935119434_mark1523946200817384.jpg","https://d247uvop8vgmto.cloudfront.net/property/181082/large/181082_1523935119851_mark1523946201020050.jpg","https://d247uvop8vgmto.cloudfront.net/property/181082/large/181082_1523935123299_mark1523946201228118.jpg","https://d247uvop8vgmto.cloudfront.net/property/181082/large/181082_1523935123806_mark1523946201443346.jpg","","False","No Agent Fee; Near MRT; Fully Furnished","53","1.3908363","103.912949","3116","False","18/04/2018 17:02:15"
"https://property.nestia.com/rental/detail/165259","165259","165259","Burgundy Hill","Burgundy Crescent","14","Condo/Apt","2","Private room","2","1","2","1","1","Master room","1","Private","1","1000","https://d247uvop8vgmto.cloudfront.net/property/165259/large/165259_1516940354364.jpg","https://d247uvop8vgmto.cloudfront.net/property/165259/large/165259_1516940356174.jpg","https://d247uvop8vgmto.cloudfront.net/property/165259/large/165259_1516940355269.jpg","","","False","No Agent Fee; Fully Furnished","76","1.339407","103.761545","318","False","18/04/2018 17:02:15"
"https://property.nestia.com/rental/detail/159658","159658","159658","Seaside Park","East Coast Terrace","15","House","3","Private room","2","1","2","1","1","Common room","2","Shared","2","800","https://d247uvop8vgmto.cloudfront.net/property/159658/large/159658_1513913030990.jpg","https://d247uvop8vgmto.cloudfront.net/property/159658/large/159658_1513913031209.jpg","","","","False","No Agent Fee","43","1.310322","103.92003690000001","16368","False","18/04/2018 17:02:15"
"https://property.nestia.com/rental/detail/125034","125034","125034","Balmoral Luck","Balmoral Road","6","Condo/Apt","2","Private room","2","1","2","1","1","Master room","1","Private","1","1100","https://d247uvop8vgmto.cloudfront.net/property/125034/large/125034_149508761712_0.jpg","https://d247uvop8vgmto.cloudfront.net/property/125034/large/125034_149508761613_0.jpg","https://d247uvop8vgmto.cloudfront.net/property/125034/large/125034_14950876166_0.jpg","https://d247uvop8vgmto.cloudfront.net/property/125034/large/125034_149508761761_0.jpg","https://d247uvop8vgmto.cloudfront.net/property/125034/large/125034_149508761806_0.jpg","False","No Agent Fee; Fully Furnished","66","1.314233","103.831809","192","False","18/04/2018 17:02:15"
"https://property.nestia.com/rental/detail/81295","81295","81295","Serangoon Garden Estate","Moreton Close","1","House","3","Private room","2","2","3","2","2","Master room","1","Private","1","1000","https://d247uvop8vgmto.cloudfront.net/property/81295/large/81295_147321696616_0_mark1523526385673600.jpg","https://d247uvop8vgmto.cloudfront.net/property/81295/large/81295_147321696665_0_mark1523526385749779.jpg","https://d247uvop8vgmto.cloudfront.net/property/81295/large/81295_147321696747_0_mark1523526385871753.jpg","","","False","No Agent Fee; Fully Furnished","62","1.361717","103.865215","2207","False","18/04/2018 17:02:15"
"https://property.nestia.com/rental/detail/90904","90904","90904","Kim Keat House","Kim Keat Road","60","Condo/Apt","2","Private room","2","1","2","1","1","Common room","2","Private","1","800","https://d247uvop8vgmto.cloudfront.net/property/90904/large/90904_147834003267_0.jpg","https://d247uvop8vgmto.cloudfront.net/property/90904/large/90904_147834003323_0.jpg","https://d247uvop8vgmto.cloudfront.net/property/90904/large/90904_147834003385_0.jpg","https://d247uvop8vgmto.cloudfront.net/property/90904/large/90904_147834003468_0.jpg","","False","No Agent Fee; Fully Furnished","44","1.32535","103.853864","1337","False","18/04/2018 17:02:15"
